Amostra,Sa,Sq,Sz,Ssk,Sku
jac_50_P0.01,0.3317957747,0.406142142,2.3811122,0.6124345819,2.662683336
jac_50_P0.02,0.3411045145,0.4258756326,2.5968456,0.5076907182,2.833317303
jac_100_P0.01,0.3255767529,0.3994572646,2.3942246,0.6195011571,2.709830988
jac_100_P0.02,0.3291444285,0.4038130978,2.3406273,0.596450387,2.672359157
jdr_50_P0.01,1.427891404,1.699575313,10.588374,-0.7481978954,2.895552126
jdr_50_P0.02,1.427967177,1.709097498,12.181053,-0.8082208319,3.112039754
jdr_100_P0.01,1.621297761,1.93321682,10.327187,-0.927119605,3.102039209
jdr_100_P0.02,1.433558322,1.712130027,12.208872,-0.800805584,3.141271982
jf_50_P0.01,0.7517569449,1.126853863,11.630421,-3.196675087,20.18447372
jf_50_P0.02,0.8523170138,1.377202413,12.542768,-3.743030987,23.20478935
jf_100_P0.01,0.7405073742,1.042170941,10.870631,-2.432447069,13.56442948
jf_100_P0.02,0.865059766,1.313735504,12.322738,-3.111715101,17.85015821
jm_50_P0.01,0.5311226938,0.6703222226,5.41221,-0.9286791661,4.031341427
jm_50_P0.02,0.5395834246,0.6876955137,5.701738,-1.020869545,4.352847355
jm_100_P0.01,0.5052926616,0.6459028514,4.903337,-0.9037708516,3.990997337
jm_100_P0.02,0.5289646086,0.6757206799,6.028364,-0.9981770148,4.375045801
